index,Date,Type of transport,Foreign Visitors
727,02-01-19, Road,491261
728,03-01-19, Waterway,9639
729,03-01-19, Air,200260
730,03-01-19, Railway,8780
731,03-01-19, Road,601299
732,04-01-19, Waterway,14379
733,04-01-19, Air,253668
734,04-01-19, Railway,9675
735,04-01-19, Road,665829
736,05-01-19, Waterway,21451
737,05-01-19, Air,277070
738,05-01-19, Railway,12000
739,05-01-19, Road,751533
740,06-01-19, Waterway,20441
741,06-01-19, Air,283298
742,06-01-19, Railway,15245
743,06-01-19, Road,991073
744,07-01-19, Waterway,21653
745,07-01-19, Air,328135
746,07-01-19, Railway,17387
747,07-01-19, Road,1229673
748,08-01-19, Waterway,22624
749,08-01-19, Air,292717
750,08-01-19, Railway,18938
751,08-01-19, Road,1368742
752,09-01-19, Waterway,24710
753,09-01-19, Air,271899
754,09-01-19, Railway,11349
755,09-01-19, Road,872324
756,10-01-19, Waterway,18485
757,10-01-19, Air,265853
758,10-01-19, Railway,12271
759,10-01-19, Road,716288
760,11-01-19, Waterway,9407
761,11-01-19, Air,212254
762,11-01-19, Railway,8951
763,11-01-19, Road,628947
764,12-01-19, Waterway,8327
765,12-01-19, Air,214898
766,12-01-19, Railway,12511
767,12-01-19, Road,683802
768,01-01-20, Waterway,8025
769,01-01-20, Air,177785
770,01-01-20, Railway,8202
771,01-01-20, Road,629653
772,02-01-20, Waterway,7817
773,02-01-20, Air,184885
774,02-01-20, Railway,7692
775,02-01-20, Road,541536
776,03-01-20, Waterway,7885
777,03-01-20, Air,57342
778,03-01-20, Railway,4069
779,03-01-20, Road,340125
780,04-01-20, Waterway,6988
781,04-01-20, Air,1460
782,04-01-20, Railway,1163
783,04-01-20, Road,134684
784,05-01-20, Waterway,7275
785,05-01-20, Air,2482
786,05-01-20, Railway,1339
787,05-01-20, Road,185009
788,06-01-20, Waterway,7885
789,06-01-20, Air,57342
790,06-01-20, Railway,4069
791,06-01-20, Road,340125
792,07-01-20, Waterway,8864
793,07-01-20, Air,64385
794,07-01-20, Railway,3551
795,07-01-20, Road,417531
796,08-01-20, Waterway,8675
797,08-01-20, Air,55002
798,08-01-20, Railway,2811
799,08-01-20, Road,423813
800,09-01-20, Waterway,9625
801,09-01-20, Air,48539
802,09-01-20, Railway,2492
803,09-01-20, Road,338848
804,10-01-20, Waterway,9206
805,10-01-20, Air,36043
806,10-01-20, Railway,2660
807,10-01-20, Road,303041
808,11-01-20, Waterway,8431
809,11-01-20, Air,18198
810,11-01-20, Railway,2406
811,11-01-20, Road,249146
812,12-01-20, Waterway,8536
813,12-01-20, Air,26415
814,12-01-20, Railway,2382
815,12-01-20, Road,247286
816,01-01-21, Waterway,7763
817,01-01-21, Air,25489
818,01-01-21, Railway,2354
819,01-01-21, Road,301810
820,02-01-21, Waterway,8235
821,02-01-21, Air,21557
822,02-01-21, Railway,2368
823,02-01-21, Road,257288
824,03-01-21, Waterway,11081
825,03-01-21, Air,27990
826,03-01-21, Railway,2419
827,03-01-21, Road,276277
828,04-01-21, Waterway,11650
829,04-01-21, Air,32508
830,04-01-21, Railway,2537
831,04-01-21, Road,284076
832,05-01-21, Waterway,13632
833,05-01-21, Air,51770
834,05-01-21, Railway,3264
835,05-01-21, Road,349400
836,06-01-21, Waterway,28715
837,06-01-21, Air,98419
838,06-01-21, Railway,4192
839,06-01-21, Road,541986
840,07-01-21, Waterway,33659
841,07-01-21, Air,180065
842,07-01-21, Railway,6627
843,07-01-21, Road,733964
844,08-01-21, Waterway,33753
845,08-01-21, Air,182512
846,08-01-21, Railway,7203
847,08-01-21, Road,831077
848,09-01-21, Waterway,27570
849,09-01-21, Air,169483
850,09-01-21, Railway,4596
851,09-01-21, Road,554024
852,10-01-21, Waterway,19303
853,10-01-21, Air,146038
854,10-01-21, Railway,3976
855,10-01-21, Road,444074
856,11-01-21, Waterway,11093
857,11-01-21, Air,95635
858,11-01-21, Railway,3053
859,11-01-21, Road,387423
860,12-01-21, Waterway,11597
861,12-01-21, Air,120286
862,12-01-21, Railway,4445
863,12-01-21, Road,410580
864,01-01-22, Waterway,12057
865,01-01-22, Air,82418
866,01-01-22, Railway,3822
867,01-01-22, Road,429594
868,02-01-22, Waterway,18719
869,02-01-22, Air,101364
870,02-01-22, Railway,4386
871,02-01-22, Road,502309
872,03-01-22, Waterway,50912
873,03-01-22, Air,148281
874,03-01-22, Railway,21049
875,03-01-22, Road,941524
